rechnung,kartennr,kennzeichen,netz,leistungsklasse,ladevorgaenge,ladedauer_min,blockierdauer_min,freiminuten_min,energie_kwh,preis_je_kwh,betrag_eur
25018707,173695,MD 32157W,ÖBB Infrastruktur AG,"max. 11kW, AC Ladepunkt",1,480.27,0.0,480.27,64.52,0.46,29.68
25018707,173695,MD 32157W,Ionity,"über 50kW, DC Ladepunkt",1,20.45,0.0,20.45,17.8,0.74,13.17
25018707,173695,MD 32157W,has-to-be,"max. 22kW, AC Ladepunkt",1,94.61,0.0,94.61,11.56,0.66,7.63
25018707,173695,MD 32157W,Energie Steiermark,"max. 11kW, AC Ladepunkt",2,60.79,20.03,40.76,14.45,0.66,11.14
25018707,167759,I 36683J,Turmstrom,"über 50kW, DC Ladepunkt",4,46.04,0.0,46.04,32.63,0.54,17.62
25018707,167759,I 36683J,MER Germany GmbH,"über 50kW, DC Ladepunkt",2,142.95,0.0,142.95,126.24,0.74,93.42
25018707,167759,I 36683J,EVN,"max. 50kW, DC Ladepunkt",2,11.22,0.0,11.22,7.47,0.74,5.53
25018707,167759,I 36683J,Energie Steiermark,"max. 11kW, AC Ladepunkt",2,388.29,7.09,381.2,95.95,0.66,63.9
25018707,167759,I 36683J,Wien Energie,"max. 11kW, AC Ladepunkt",1,276.01,0.0,276.01,49.74,0.66,32.83
25018707,167759,I 36683J,Partnerladenetze - Business Park Charging,"max. 11kW, AC Ladepunkt",1,32.27,7.7,24.57,6.26,0.31,2.56
25018707,170976,K 32354T,Ionity,"über 50kW, DC Ladepunkt",1,103.3,0.0,103.3,103.48,0.74,76.58
25018707,170976,K 32354T,ÖBB Infrastruktur AG,"max. 11kW, AC Ladepunkt",5,367.17,0.0,367.17,88.47,0.46,40.7
