beleg,seite,kennzeichen,objektnr,datum,anbieter,kartennr,station,position,km_stand,liter,preis_je_liter,kraftstoff,betrag_eur
46/00133,4,W 81162P,320926,2025-03-06,DKV,2493594,ANNENHEIM,Tankstellenrabatt,,,,,-1.34
46/00133,4,W 81162P,320926,2025-03-06,DKV,2493594,BRUCK/MUR,Kraftstoff,164747,6.78,1.69,Diesel,11.46
46/00133,4,W 81162P,320926,2025-03-06,DKV,2493594,BRUCK/MUR,Tankstellenrabatt,,,,,-0.24
46/00133,4,W 81162P,320926,2025-03-11,OMV,2492101,AMSTETTEN,Kraftstoff,165125,41.26,1.53,Diesel,63.13
46/00133,4,W 81162P,320926,2025-03-11,OMV,2492101,AMSTETTEN,Tankstellenrabatt,,,,,-1.0
46/00133,4,W 81162P,320926,2025-03-12,DKV,2493594,EBEN SUED,Kraftstoff,165497,42.76,1.51,Diesel,64.57
46/00133,4,W 81162P,320926,2025-03-12,DKV,2493594,EBEN SUED,Tankstellenrabatt,,,,,-1.02
46/00133,4,W 81162P,320926,2025-03-13,DKV,2493594,INNSBRUCK,Kraftstoff,166029,36.99,1.54,Diesel,56.96
46/00133,4,W 81162P,320926,2025-03-13,DKV,2493594,INNSBRUCK,Tankstellenrabatt,,,,,-0.99
46/00133,4,W 81162P,320926,2025-03-18,DKV,2493594,WR. NEUDORF,Kraftstoff,166675,29.26,1.44,Diesel,42.13
46/00133,4,W 81162P,320926,2025-03-18,DKV,2493594,WR. NEUDORF,Tankstellenrabatt,,,,,-0.9
46/00133,4,W 81162P,320926,2025-03-26,OMV,2492101,ANNENHEIM,Kraftstoff,166975,39.79,1.54,Diesel,61.28
46/00133,4,W 81162P,320926,2025-03-26,OMV,2492101,ANNENHEIM,Tankstellenrabatt,,,,,-1.18
46/00133,4,W 81162P,320926,2025-03-10,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.53
46/00133,5,I 213RF,398419,2025-03-24,OMV,2492101,EBEN SUED,Kraftstoff,61909,43.07,1.58,Diesel,68.05
46/00133,5,I 213RF,398419,2025-03-24,OMV,2492101,EBEN SUED,Tankstellenrabatt,,,,,-1.23
46/00133,5,I 213RF,398419,2025-03-25,OMV,2492101,BRUCK/MUR,Kraftstoff,62374,41.61,1.42,Diesel,59.09
46/00133,5,I 213RF,398419,2025-03-25,OMV,2492101,BRUCK/MUR,Tankstellenrabatt,,,,,-1.09
46/00133,5,I 213RF,398419,2025-03-07,DKV,2493594,ASFINAG,Maut,,,,,8.68
46/00133,5,I 213RF,398419,2025-03-17,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.55
46/00133,5,I 213RF,398419,2025-03-15,OMV,2492101,KLAGENFURT,KFZ-Reinigung,,,,,13.79
46/00133,6,W 63812S,332325,2025-03-05,DKV,2493594,WR. NEUDORF,Kraftstoff,22262,36.51,1.55,Kraftsto,56.59
46/00133,6,W 63812S,332325,2025-03-05,DKV,2493594,WR. NEUDORF,Tankstellenrabatt,,,,,-1.24
46/00133,6,W 63812S,332325,2025-03-09,DKV,2493594,KLAGENFURT,Kraftstoff,22843,32.47,1.57,Diesel,50.98
46/00133,6,W 63812S,332325,2025-03-09,DKV,2493594,KLAGENFURT,Tankstellenrabatt,,,,,-0.73
46/00133,6,W 63812S,332325,2025-03-15,OMV,2492101,INNSBRUCK,Kraftstoff,23092,47.2,1.53,Diesel,72.22
46/00133,6,W 63812S,332325,2025-03-15,OMV,2492101,INNSBRUCK,Tankstellenrabatt,,,,,-1.02
46/00133,6,W 63812S,332325,2025-03-16,DKV,2493594,WELS,Kraftstoff,24281,42.98,1.74,Diesel,74.79
46/00133,6,W 63812S,332325,2025-03-16,DKV,2493594,WELS,Tankstellenrabatt,,,,,-1.19
46/00133,6,W 63812S,332325,2025-03-23,SHELL,2495185,NEUMARKT/W,Kraftstoff,24952,44.59,1.51,Diesel,67.33
46/00133,6,W 63812S,332325,2025-03-23,SHELL,2495185,NEUMARKT/W,Tankstellenrabatt,,,,,-0.9
46/00133,6,W 63812S,332325,2025-03-23,OMV,2492101,LINZ URFAHR,KFZ-Reinigung,,,,,9.26
46/00133,7,KL 379SB,391924,2025-03-15,OMV,2492101,HOF,Kraftstoff,20751,42.46,1.58,Diesel,67.09
46/00133,7,KL 379SB,391924,2025-03-15,OMV,2492101,HOF,Tankstellenrabatt,,,,,-0.88
46/00133,7,KL 379SB,391924,2025-03-15,OMV,2492101,WELS,Kraftstoff,21818,42.76,1.62,Diesel,69.27
46/00133,7,KL 379SB,391924,2025-03-15,OMV,2492101,WELS,Tankstellenrabatt,,,,,-0.93
46/00133,7,KL 379SB,391924,2025-03-16,DKV,2493594,BRUCK/MUR,Kraftstoff,21982,17.4,1.54,Diesel,26.8
46/00133,7,KL 379SB,391924,2025-03-16,DKV,2493594,BRUCK/MUR,Tankstellenrabatt,,,,,-0.47
46/00133,7,KL 379SB,391924,2025-03-18,DKV,2493594,KLAGENFURT,Kraftstoff,22178,41.88,1.52,Diesel,63.66
46/00133,7,KL 379SB,391924,2025-03-18,DKV,2493594,KLAGENFURT,Tankstellenrabatt,,,,,-1.06
46/00133,7,KL 379SB,391924,2025-03-18,DKV,2493594,EBEN SUED,Kraftstoff,22498,30.94,1.51,Diesel,46.72
46/00133,7,KL 379SB,391924,2025-03-18,DKV,2493594,EBEN SUED,Tankstellenrabatt,,,,,-0.67
46/00133,7,KL 379SB,391924,2025-03-21,OMV,2492101,GRAZ WEST,Kraftstoff,22728,45.46,1.51,Diesel,68.64
46/00133,7,KL 379SB,391924,2025-03-21,OMV,2492101,GRAZ WEST,Tankstellenrabatt,,,,,-1.42
46/00133,7,KL 379SB,391924,2025-03-21,OMV,2492101,INNSBRUCK,Kraftstoff,23337,33.87,1.56,Diesel,52.84
46/00133,7,KL 379SB,391924,2025-03-21,OMV,2492101,INNSBRUCK,Tankstellenrabatt,,,,,-0.96
46/00133,7,KL 379SB,391924,2025-03-21,DKV,2493594,ASFINAG,Maut,,,,,4.64
46/00133,8,I 93585C,301504,2025-03-07,DKV,2493594,WELS,Kraftstoff,44851,44.47,1.59,Benzin,70.71
46/00133,8,I 93585C,301504,2025-03-07,DKV,2493594,WELS,Tankstellenrabatt,,,,,-0.87
46/00133,8,I 93585C,301504,2025-03-24,OMV,2492101,ANNENHEIM,Kraftstoff,45231,16.16,1.48,Benzin,23.92
46/00133,8,I 93585C,301504,2025-03-24,OMV,2492101,ANNENHEIM,Tankstellenrabatt,,,,,-0.44
46/00133,8,I 93585C,301504,2025-03-17,DKV,2493594,ASFINAG,Maut,,,,,7.03
46/00133,8,I 93585C,301504,2025-03-01,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.66
46/00133,8,I 93585C,301504,2025-03-03,OMV,2492101,INNSBRUCK,KFZ-Reinigung,,,,,8.19
46/00133,9,WU 93342D,300074,2025-03-02,OMV,2492101,KLAGENFURT,Kraftstoff,6798,43.22,1.51,Diesel,68.26
46/00133,9,WU 93342D,300074,2025-03-02,OMV,2492101,KLAGENFURT,Tankstellenrabatt,,,,,-1.31
46/00133,9,WU 93342D,300074,2025-03-03,OMV,2492101,ST. POELTEN,Kraftstoff,7679,42.78,1.6,Diesel,68.45
46/00133,9,WU 93342D,300074,2025-03-03,OMV,2492101,ST. POELTEN,Tankstellenrabatt,,,,,-1.11
46/00133,9,WU 93342D,300074,2025-03-04,DKV,2493594,HOF,Kraftstoff,8010,7.68,1.4,Diesel,10.75
46/00133,9,WU 93342D,300074,2025-03-04,DKV,2493594,HOF,Tankstellenrabatt,,,,,-0.16
46/00133,9,WU 93342D,300074,2025-03-14,OMV,2492101,ST. POELTEN,Kraftstoff,8771,7.12,1.57,Diesel,11.18
46/00133,9,WU 93342D,300074,2025-03-14,OMV,2492101,ST. POELTEN,Tankstellenrabatt,,,,,-0.18
46/00133,9,WU 93342D,300074,2025-03-21,OMV,2492101,LINZ URFAHR,Kraftstoff,9561,17.19,1.44,Diesel,24.75
46/00133,9,WU 93342D,300074,2025-03-21,OMV,2492101,LINZ URFAHR,Tankstellenrabatt,,,,,-0.33
46/00133,9,WU 93342D,300074,2025-03-28,DKV,2493594,INNSBRUCK,Kraftstoff,10629,34.49,1.51,Diesel,52.08
46/00133,9,WU 93342D,300074,2025-03-28,DKV,2493594,INNSBRUCK,Tankstellenrabatt,,,,,-1.09
46/00133,9,WU 93342D,300074,2025-03-24,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.53
46/00133,9,WU 93342D,300074,2025-03-04,OMV,2492101,NEUMARKT/W,KFZ-Reinigung,,,,,14.93
46/00133,10,K 9012D,303278,2025-03-17,DKV,2493594,VILLACH,Kraftstoff,172342,43.18,1.65,Diesel,71.25
46/00133,10,K 9012D,303278,2025-03-17,DKV,2493594,VILLACH,Tankstellenrabatt,,,,,-1.13
46/00133,10,K 9012D,303278,2025-03-17,DKV,2493594,EBEN SUED,Kraftstoff,172564,6.2,1.65,Diesel,10.23
46/00133,10,K 9012D,303278,2025-03-17,DKV,2493594,EBEN SUED,Tankstellenrabatt,,,,,-0.2
46/00133,10,K 9012D,303278,2025-03-20,OMV,2492101,KLAGENFURT,Kraftstoff,173369,25.39,1.6,Diesel,40.62
46/00133,10,K 9012D,303278,2025-03-20,OMV,2492101,KLAGENFURT,Tankstellenrabatt,,,,,-0.72
46/00133,10,K 9012D,303278,2025-03-23,DKV,2493594,ANNENHEIM,Kraftstoff,174030,40.98,1.53,Diesel,62.7
46/00133,10,K 9012D,303278,2025-03-23,DKV,2493594,ANNENHEIM,Tankstellenrabatt,,,,,-1.11
46/00133,10,K 9012D,303278,2025-03-31,SHELL,2495185,FELDKIRCHEN,Kraftstoff,174532,13.46,1.63,Diesel,21.94
46/00133,10,K 9012D,303278,2025-03-31,SHELL,2495185,FELDKIRCHEN,Tankstellenrabatt,,,,,-0.36
46/00133,10,K 9012D,303278,2025-03-01,DKV,2493594,ASFINAG,Maut,,,,,8.7
46/00133,10,K 9012D,303278,2025-03-15,OMV,2492101,LINZ URFAHR,KFZ-Reinigung,,,,,9.63
46/00133,11,S 718EY,307592,2025-03-03,DKV,2493594,FELDKIRCHEN,Kraftstoff,86675,40.61,1.61,Diesel,65.38
46/00133,11,S 718EY,307592,2025-03-03,DKV,2493594,FELDKIRCHEN,Tankstellenrabatt,,,,,-1.03
46/00133,11,S 718EY,307592,2025-03-19,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,2.45
46/00133,12,VB 17131W,308326,2025-03-02,DKV,2493594,BRUCK/MUR,Kraftstoff,,41.45,1.62,Benzin,67.15
46/00133,12,VB 17131W,308326,2025-03-02,DKV,2493594,BRUCK/MUR,Tankstellenrabatt,,,,,-1.34
46/00133,12,VB 17131W,308326,2025-03-09,OMV,2492101,INNSBRUCK,Kraftstoff,103458,35.37,1.85,Benzin,65.43
46/00133,12,VB 17131W,308326,2025-03-09,OMV,2492101,INNSBRUCK,Tankstellenrabatt,,,,,-1.32
46/00133,12,VB 17131W,308326,2025-03-10,OMV,2492101,WR. NEUDORF,Kraftstoff,,19.22,1.59,Benzin,30.56
46/00133,12,VB 17131W,308326,2025-03-10,OMV,2492101,WR. NEUDORF,Tankstellenrabatt,,,,,-0.56
46/00133,12,VB 17131W,308326,2025-03-12,DKV,2493594,GRAZ WEST,Kraftstoff,105055,40.58,1.52,Benzin,61.68
46/00133,12,VB 17131W,308326,2025-03-12,DKV,2493594,GRAZ WEST,Tankstellenrabatt,,,,,-1.06
46/00133,12,VB 17131W,308326,2025-03-13,OMV,2492101,FELDKIRCHEN,Kraftstoff,105673,41.89,1.54,Benzin,64.51
46/00133,12,VB 17131W,308326,2025-03-13,OMV,2492101,FELDKIRCHEN,Tankstellenrabatt,,,,,-0.96
46/00133,12,VB 17131W,308326,2025-03-10,OMV,2492101,NEUMARKT/W,KFZ-Reinigung,,,,,8.0
46/00133,13,W 95412F,390422,2025-03-02,DKV,2493594,ST. POELTEN,Kraftstoff,9490,8.3,1.56,Diesel,12.95
46/00133,13,W 95412F,390422,2025-03-02,DKV,2493594,ST. POELTEN,Tankstellenrabatt,,,,,-0.17
46/00133,13,W 95412F,390422,2025-03-19,DKV,2493594,FELDKIRCHEN,Kraftstoff,50514,44.24,1.49,Diesel,65.92
46/00133,13,W 95412F,390422,2025-03-19,DKV,2493594,FELDKIRCHEN,Tankstellenrabatt,,,,,-1.32
46/00133,13,W 95412F,390422,2025-03-19,OMV,2492101,AMSTETTEN,Kraftstoff,51591,19.92,1.52,Diesel,30.28
46/00133,13,W 95412F,390422,2025-03-19,OMV,2492101,AMSTETTEN,Tankstellenrabatt,,,,,-0.59
46/00133,13,W 95412F,390422,2025-03-24,OMV,2492101,HOF,Kraftstoff,52463,42.24,1.92,Diesel,81.1
46/00133,13,W 95412F,390422,2025-03-24,OMV,2492101,HOF,Tankstellenrabatt,,,,,-1.17
46/00133,13,W 95412F,390422,2025-03-28,OMV,2492101,ST. POELTEN,Kraftstoff,53469,39.46,1.7,Diesel,67.08
46/00133,13,W 95412F,390422,2025-03-28,OMV,2492101,ST. POELTEN,Tankstellenrabatt,,,,,-1.21
46/00133,13,W 95412F,390422,2025-03-14,DKV,2493594,ASFINAG,Maut,,,,,1.57
46/00133,13,W 95412F,390422,2025-03-26,DKV,2493594,ASFINAG,Maut,,,,,15.67
46/00133,14,BN 387UF,369822,2025-03-12,OMV,2492101,KLAGENFURT,Kraftstoff,39116,39.07,1.62,Diesel,63.29
46/00133,14,BN 387UF,369822,2025-03-12,OMV,2492101,KLAGENFURT,Tankstellenrabatt,,,,,-0.97
46/00133,14,BN 387UF,369822,2025-03-30,DKV,2493594,ST. POELTEN,Kraftstoff,39627,39.43,1.46,Diesel,57.57
46/00133,14,BN 387UF,369822,2025-03-30,DKV,2493594,ST. POELTEN,Tankstellenrabatt,,,,,-1.17
46/00133,14,BN 387UF,369822,2025-03-21,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.51
46/00133,15,K 134PU,364686,2025-03-08,OMV,2492101,FELDKIRCHEN,Kraftstoff,83461,43.09,1.59,Diesel,68.51
46/00133,15,K 134PU,364686,2025-03-08,OMV,2492101,FELDKIRCHEN,Tankstellenrabatt,,,,,-1.05
46/00133,15,K 134PU,364686,2025-03-09,OMV,2492101,WELS,Kraftstoff,84346,42.02,1.55,Diesel,65.13
46/00133,15,K 134PU,364686,2025-03-09,OMV,2492101,WELS,Tankstellenrabatt,,,,,-1.11
46/00133,15,K 134PU,364686,2025-03-13,OMV,2492101,GRAZ WEST,Kraftstoff,84822,42.54,1.59,Diesel,67.64
46/00133,15,K 134PU,364686,2025-03-13,OMV,2492101,GRAZ WEST,Tankstellenrabatt,,,,,-1.02
46/00133,15,K 134PU,364686,2025-03-28,DKV,2493594,WELS,Kraftstoff,85305,40.48,1.55,Diesel,62.74
46/00133,15,K 134PU,364686,2025-03-28,DKV,2493594,WELS,Tankstellenrabatt,,,,,-1.07
46/00133,15,K 134PU,364686,2025-03-29,DKV,2493594,HOF,Kraftstoff,86355,40.58,1.5,Diesel,60.87
46/00133,15,K 134PU,364686,2025-03-29,DKV,2493594,HOF,Tankstellenrabatt,,,,,-1.32
46/00133,15,K 134PU,364686,2025-03-09,DKV,2493594,ASFINAG,Maut,,,,,36.57
46/00133,15,K 134PU,364686,2025-03-12,OMV,2492101,ANNENHEIM,KFZ-Reinigung,,,,,7.93
46/00133,16,WU 31855P,312676,2025-03-01,OMV,2492101,KLAGENFURT,Kraftstoff,19529,41.31,1.62,Diesel,66.92
46/00133,16,WU 31855P,312676,2025-03-01,OMV,2492101,KLAGENFURT,Tankstellenrabatt,,,,,-1.43
46/00133,16,WU 31855P,312676,2025-03-03,OMV,2492101,GRAZ WEST,Kraftstoff,19741,22.54,1.52,Diesel,34.26
46/00133,16,WU 31855P,312676,2025-03-03,OMV,2492101,GRAZ WEST,Tankstellenrabatt,,,,,-0.74
46/00133,16,WU 31855P,312676,2025-03-10,DKV,2493594,WR. NEUDORF,Kraftstoff,20431,44.51,1.44,Diesel,64.09
46/00133,16,WU 31855P,312676,2025-03-10,DKV,2493594,WR. NEUDORF,Tankstellenrabatt,,,,,-0.78
46/00133,16,WU 31855P,312676,2025-03-23,OMV,2492101,GRAZ WEST,Kraftstoff,21017,34.32,1.67,Diesel,57.31
46/00133,16,WU 31855P,312676,2025-03-23,OMV,2492101,GRAZ WEST,Tankstellenrabatt,,,,,-0.93
46/00133,16,WU 31855P,312676,2025-03-23,OMV,2492101,ANNENHEIM,Kraftstoff,22090,33.98,1.51,Diesel,51.31
46/00133,16,WU 31855P,312676,2025-03-23,OMV,2492101,ANNENHEIM,Tankstellenrabatt,,,,,-0.85
46/00133,16,WU 31855P,312676,2025-03-27,DKV,2493594,WR. NEUDORF,Kraftstoff,22641,37.74,1.68,Diesel,63.4
46/00133,16,WU 31855P,312676,2025-03-27,DKV,2493594,WR. NEUDORF,Tankstellenrabatt,,,,,-1.25
46/00133,16,WU 31855P,312676,2025-03-31,OMV,2492101,VILLACH,Kraftstoff,23543,37.34,1.52,Diesel,56.76
46/00133,16,WU 31855P,312676,2025-03-31,OMV,2492101,VILLACH,Tankstellenrabatt,,,,,-1.19
46/00133,16,WU 31855P,312676,2025-03-25,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.5
46/00133,17,KL 25881B,355302,2025-03-05,DKV,2493594,EBEN SUED,Kraftstoff,21703,13.46,1.54,Diesel,20.73
46/00133,17,KL 25881B,355302,2025-03-05,DKV,2493594,EBEN SUED,Tankstellenrabatt,,,,,-0.4
46/00133,17,KL 25881B,355302,2025-03-08,OMV,2492101,AMSTETTEN,Kraftstoff,,47.38,1.53,Diesel,72.49
46/00133,17,KL 25881B,355302,2025-03-08,OMV,2492101,AMSTETTEN,Tankstellenrabatt,,,,,-1.21
46/00133,17,KL 25881B,355302,2025-03-23,DKV,2493594,EBEN SUED,Kraftstoff,23236,21.94,1.54,Diesel,33.79
46/00133,17,KL 25881B,355302,2025-03-23,DKV,2493594,EBEN SUED,Tankstellenrabatt,,,,,-0.7
46/00133,17,KL 25881B,355302,2025-03-24,DKV,2493594,LINZ URFAHR,Kraftstoff,23713,40.3,1.41,Diesel,56.82
46/00133,17,KL 25881B,355302,2025-03-24,DKV,2493594,LINZ URFAHR,Tankstellenrabatt,,,,,-0.74
46/00133,17,KL 25881B,355302,2025-03-24,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.5
46/00133,18,VB 127NN,354987,2025-03-12,DKV,2493594,WELS,Kraftstoff,66247,43.02,1.4,Diesel,60.23
46/00133,18,VB 127NN,354987,2025-03-12,DKV,2493594,WELS,Tankstellenrabatt,,,,,-0.88
46/00133,18,VB 127NN,354987,2025-03-14,OMV,2492101,HOF,Kraftstoff,67117,43.42,1.55,Diesel,67.3
46/00133,18,VB 127NN,354987,2025-03-14,OMV,2492101,HOF,Tankstellenrabatt,,,,,-0.83
46/00133,18,VB 127NN,354987,2025-03-16,DKV,2493594,GRAZ WEST,Kraftstoff,67308,41.31,1.56,Diesel,64.44
46/00133,18,VB 127NN,354987,2025-03-16,DKV,2493594,GRAZ WEST,Tankstellenrabatt,,,,,-0.81
46/00133,18,VB 127NN,354987,2025-03-26,DKV,2493594,EBEN SUED,Kraftstoff,68075,40.21,1.71,Diesel,68.76
46/00133,18,VB 127NN,354987,2025-03-26,DKV,2493594,EBEN SUED,Tankstellenrabatt,,,,,-0.97
46/00133,18,VB 127NN,354987,2025-03-20,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.5
46/00133,18,VB 127NN,354987,2025-03-06,OMV,2492101,WELS,KFZ-Reinigung,,,,,7.97
46/00133,19,W 867XW,358878,2025-03-06,OMV,2492101,GRAZ WEST,Kraftstoff,57270,10.97,1.51,Diesel,16.56
46/00133,19,W 867XW,358878,2025-03-06,OMV,2492101,GRAZ WEST,Tankstellenrabatt,,,,,-0.29
46/00133,19,W 867XW,358878,2025-03-17,OMV,2492101,INNSBRUCK,Kraftstoff,,41.55,1.63,Diesel,67.73
46/00133,19,W 867XW,358878,2025-03-17,OMV,2492101,INNSBRUCK,Tankstellenrabatt,,,,,-1.24
46/00133,19,W 867XW,358878,2025-03-22,OMV,2492101,VILLACH,Kraftstoff,58167,45.07,1.59,Diesel,71.66
46/00133,19,W 867XW,358878,2025-03-22,OMV,2492101,VILLACH,Tankstellenrabatt,,,,,-1.07
46/00133,19,W 867XW,358878,2025-03-22,DKV,2493594,ANNENHEIM,Kraftstoff,58876,40.44,1.6,Diesel,64.7
46/00133,19,W 867XW,358878,2025-03-22,DKV,2493594,ANNENHEIM,Tankstellenrabatt,,,,,-0.79
46/00133,19,W 867XW,358878,2025-03-24,OMV,2492101,ANNENHEIM,Kraftstoff,59271,38.66,1.51,Diesel,58.38
46/00133,19,W 867XW,358878,2025-03-24,OMV,2492101,ANNENHEIM,Tankstellenrabatt,,,,,-0.97
46/00133,19,W 867XW,358878,2025-03-25,DKV,2493594,LINZ URFAHR,Kraftstoff,59912,44.1,1.67,Diesel,73.65
46/00133,19,W 867XW,358878,2025-03-25,DKV,2493594,LINZ URFAHR,Tankstellenrabatt,,,,,-1.23
46/00133,19,W 867XW,358878,2025-03-31,DKV,2493594,KLAGENFURT,Kraftstoff,60433,35.04,1.59,Diesel,55.71
46/00133,19,W 867XW,358878,2025-03-31,DKV,2493594,KLAGENFURT,Tankstellenrabatt,,,,,-1.12
46/00133,20,S 193RF,372357,2025-03-04,OMV,2492101,HOF,Kraftstoff,32286,34.32,2.0,Diesel,68.64
46/00133,20,S 193RF,372357,2025-03-04,OMV,2492101,HOF,Tankstellenrabatt,,,,,-1.45
46/00133,20,S 193RF,372357,2025-03-08,DKV,2493594,VILLACH,Kraftstoff,33253,46.59,1.53,Diesel,71.28
46/00133,20,S 193RF,372357,2025-03-08,DKV,2493594,VILLACH,Tankstellenrabatt,,,,,-1.2
46/00133,20,S 193RF,372357,2025-03-13,DKV,2493594,GRAZ WEST,Kraftstoff,34338,34.98,1.54,Diesel,53.87
46/00133,20,S 193RF,372357,2025-03-13,DKV,2493594,GRAZ WEST,Tankstellenrabatt,,,,,-1.1
46/00133,20,S 193RF,372357,2025-03-13,OMV,2492101,EBEN SUED,Kraftstoff,35408,36.75,1.54,Diesel,56.59
46/00133,20,S 193RF,372357,2025-03-13,OMV,2492101,EBEN SUED,Tankstellenrabatt,,,,,-1.14
46/00133,20,S 193RF,372357,2025-03-18,DKV,2493594,ANNENHEIM,Kraftstoff,36147,41.12,1.62,Diesel,66.61
46/00133,20,S 193RF,372357,2025-03-18,DKV,2493594,ANNENHEIM,Tankstellenrabatt,,,,,-1.02
46/00133,20,S 193RF,372357,2025-03-05,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.5
46/00133,21,BN 9252FJ,303905,2025-03-27,OMV,2492101,GRAZ WEST,Kraftstoff,74128,18.57,1.52,Diesel,28.23
46/00133,21,BN 9252FJ,303905,2025-03-27,OMV,2492101,GRAZ WEST,Tankstellenrabatt,,,,,-0.34
46/00133,21,BN 9252FJ,303905,2025-03-14,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.5
46/00133,22,WU 613EV,311395,2025-03-03,OMV,2492101,FELDKIRCHEN,Kraftstoff,62801,38.69,1.58,Diesel,61.13
46/00133,22,WU 613EV,311395,2025-03-03,OMV,2492101,FELDKIRCHEN,Tankstellenrabatt,,,,,-0.91
46/00133,22,WU 613EV,311395,2025-03-03,DKV,2493594,WELS,Kraftstoff,63565,35.54,1.56,Diesel,55.44
46/00133,22,WU 613EV,311395,2025-03-03,DKV,2493594,WELS,Tankstellenrabatt,,,,,-0.91
46/00133,22,WU 613EV,311395,2025-03-09,DKV,2493594,INNSBRUCK,Kraftstoff,64653,18.74,1.61,Diesel,30.17
46/00133,22,WU 613EV,311395,2025-03-09,DKV,2493594,INNSBRUCK,Tankstellenrabatt,,,,,-0.46
46/00133,22,WU 613EV,311395,2025-03-11,OMV,2492101,ST. POELTEN,Kraftstoff,65437,8.58,1.52,Diesel,13.04
46/00133,22,WU 613EV,311395,2025-03-11,OMV,2492101,ST. POELTEN,Tankstellenrabatt,,,,,-0.23
46/00133,22,WU 613EV,311395,2025-03-25,OMV,2492101,FELDKIRCHEN,Kraftstoff,66359,44.7,1.81,Diesel,80.91
46/00133,22,WU 613EV,311395,2025-03-25,OMV,2492101,FELDKIRCHEN,Tankstellenrabatt,,,,,-1.75
46/00133,22,WU 613EV,311395,2025-03-29,DKV,2493594,AMSTETTEN,Kraftstoff,66737,21.07,1.62,Diesel,34.13
