objektnr,kennzeichen,marke,modell,vertragsende,laufleistung_km,freikilometer,letzter_stichtag,letzter_km,tage_gelaufen,tage_gesamt,km_je_monat,prognose_km_vertragsende,mehrkilometer_prognose,hinweis
308326,VB17131W,FORD,GALAXY,2026-03-01,175000.0,7500.0,2025-09-30,134404.0,972.0,1124.0,4204.0,155422.0,-27078.0,ok
328893,I662CA,SKODA,KAROQ 4x4,2027-10-18,310000.0,,2025-09-30,171224.0,1170.0,1918.0,4449.0,280690.0,-29310.0,ok
334671,W469TZ,SKODA,SUPERB,2026-03-06,210000.0,7500.0,2025-06-30,151739.0,1212.0,1461.0,3806.0,182913.0,-34587.0,ok
372603,MD728XS,VW,ID.3 Pro,2029-03-31,215000.0,,2025-09-30,53548.0,548.0,1826.0,2971.0,178428.0,-36572.0,ok
373000,P24543R,BMW,418d  Gran Coupe,2029-03-26,230000.0,7500.0,2025-09-30,79081.0,827.0,2100.0,2907.0,200810.0,-36690.0,ok
398419,I213RF,SKODA,Klasse 1 - Octavia,2028-04-11,185000.0,7500.0,2025-06-30,66037.0,811.0,1827.0,2475.0,148766.0,-43734.0,ok
355302,KL25881B,OPEL,ASTRA WF,2029-02-13,260000.0,10000.0,2025-09-30,52488.0,382.0,1614.0,4177.0,221769.0,-48231.0,ok
340857,W313JP,BMW,Klasse 9 - X3 20d xDrive,2030-05-09,280000.0,10000.0,2025-09-30,28958.0,233.0,1915.0,3778.0,238002.0,-51998.0,ok
379818,G14665K,VW,PASSAT VARIANT,2029-09-23,215000.0,10000.0,2025-09-30,34451.0,372.0,1826.0,2815.0,169106.0,-55894.0,ok
320926,W81162P,VW,Klasse 4.1 - Touran,2026-10-03,320000.0,10000.0,2025-09-30,182280.0,1427.0,1795.0,3883.0,229287.0,-100713.0,ok
349735,VB78811F,SKODA,SUPERB,2028-09-07,90000.0,10000.0,2025-09-30,3804.0,23.0,1096.0,5028.0,181269.0,81269.0,zu kurze Laufzeit
366237,P935FF,AUDI,Klasse 7.1 - A4 Avant,2031-08-31,270000.0,7500.0,2025-09-30,4801.0,30.0,2191.0,4865.0,350633.0,73133.0,zu kurze Laufzeit
304165,P259NX,OPEL,ASTRA WF,2029-07-26,80000.0,10000.0,2025-09-30,6168.0,66.0,1461.0,2841.0,136537.0,46537.0,zu kurze Laufzeit
334718,W29732Y,VW,PASSAT,2029-07-15,100000.0,,2025-09-30,7053.0,77.0,1461.0,2785.0,133824.0,33824.0,zu kurze Laufzeit
330512,GU1149KL,OPEL,Grandland X,2029-07-04,80000.0,10000.0,2025-09-30,7382.0,88.0,1461.0,2550.0,122558.0,32558.0,zu kurze Laufzeit
315860,W18476D,OPEL,ZAFIRA TOURER,2030-04-10,100000.0,7500.0,2025-09-30,5309.0,82.0,1735.0,1968.0,112331.0,4831.0,zu kurze Laufzeit
310322,G38147V,BMW,316d Touring,2029-07-12,185000.0,,2025-09-30,10298.0,80.0,1461.0,3913.0,188067.0,3067.0,zu kurze Laufzeit
